Models,Prompts,Runs,Average Q %,C,E,Time(S),SCI_g_per_run,SEI_1_per_g,CER_%_per_g,SCV,SCV_E,SCI NORM,Time(S)_NORM,SVI,ECO,DeepSeek APᵥ₀ C mean,DeepSeek APᵥ₃ C mean,DeepSeek APᵥ₀ Q% Norm,DeepSeek APᵥ₃ Q% Norm,DeepSeek APᵥ₀ E HarmMean,DeepSeek APᵥ₃ E HarmMean,,Model,Metric,Mean ,Std ,Stability_Index,Std Norm,,Model,Stability_Index Mean,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,33,88%,1.33,0.004,112.9154552,0.3112,3.213367609,0.6616541353,0.005859730485,1.948360386,0.25,0.2743153155,0.5037035655,1.019452252,,Qwen2.5-1.5B-Instruct,0.9465160556,0.9504816231,0.9529196593,0.9546702802,0.9560269531,0.9571281991,,,,,,,138,130,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,1,88%,1.61,0.005,136.9341544,0.389,2.570694087,0.5465838509,0.003991581598,1.285289274,0.5,0.4735637734,0.3629959216,0.9823758489,,Phi-3.5-mini-instruct,0.99967542,1.00942641,1.015465619,1.019823033,1.023212024,1.025970786,,,,,,,152,130,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,2,88%,1.48,0.004,125.2433896,0.3112,3.213367609,0.5945945946,0.004747512793,1.756579734,0.25,0.3765823824,0.4662831489,1.101265906,,,,,,,,,,,,,,,130,153.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,3,88%,1.65,0.005,140.0508904,0.389,2.570694087,0.5333333333,0.00380813954,1.256686048,0.5,0.4994188304,0.356736643,0.9996125536,,,,,,,,,,,,,,,147.1428571,123.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,4,88%,1.50,0.004,127.3241698,0.3112,3.213367609,0.5866666667,0.004607661432,1.727873037,0.25,0.3938436105,0.4605087423,1.115074888,,Model,,,,,,,,,,,,,136,150,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,5,88%,1.80,0.005,152.2831244,0.389,2.570694087,0.4888888889,0.003210394394,1.155741982,0.5,0.6008920095,0.3341247485,1.06726134,,,,,,,,,,,,,,,130,160,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,6,88%,1.33,0.004,113.0211814,0.3112,3.213367609,0.6616541353,0.005854248972,1.946537783,0.25,0.2751923731,0.503357126,1.020153899,,,,,,,,,,,,,,,142,122.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,7,88%,1.75,0.005,148.0891767,0.389,2.570694087,0.5028571429,0.003395637372,1.18847308,0.5,0.5661008826,0.3415473715,1.044067255,,,,,,,,,,,,,,,142.8571429,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,8,88%,1.29,0.004,109.37725,0.3112,3.213367609,0.6821705426,0.006236859517,2.011387194,0.25,0.2449639368,0.5155789249,0.9959711494,,,,,,,,,,,,,,,150,136.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,9,88%,1.81,0.005,153.3163115,0.389,2.570694087,0.4861878453,0.00317114233,1.147953524,0.5,0.6094628704,0.3323454364,1.072975247,,,,,,,,,,,,,,,140,127.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,10,88%,1.51,0.004,128.2185508,0.3112,3.213367609,0.582781457,0.004545219497,1.71582036,0.25,0.4012629977,0.4580704472,1.121010398,,,,,,,,,,,,,,,131.6666667,143.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,11,88%,1.41,0.004,119.5769742,0.3112,3.213367609,0.6241134752,0.005219344941,1.839819092,0.25,0.329576317,0.482768202,1.063661054,,,,,,,,,,,,,,,133.3333333,122.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,12,88%,1.78,0.005,151.0116505,0.389,2.570694087,0.4943820225,0.003273800537,1.165472991,0.5,0.5903444268,0.3363407517,1.060229618,,,,,,,,,,,,,,,138.5714286,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,13,88%,1.53,0.004,130.0610132,0.3112,3.213367609,0.5751633987,0.004422258327,1.69151381,0.25,0.4165472473,0.4531279626,1.133237798,,,,,,,,,,,,,,,148.5714286,153.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,14,88%,1.55,0.004,131.1048591,0.3112,3.213367609,0.5677419355,0.004330441598,1.678046119,0.25,0.425206529,0.4503748439,1.140165223,,,,,,,,,,,,,,,136.6666667,126.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,15,88%,1.51,0.004,128.0071717,0.3112,3.213367609,0.582781457,0.004552725047,1.718653705,0.25,0.3995094909,0.4586443838,1.119607593,,,,,,,,,,,,,,,126,143.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,16,88%,1.51,0.004,128.204376,0.3112,3.213367609,0.582781457,0.004545722036,1.716010069,0.25,0.4011454096,0.4581088898,1.120916328,,,,,,,,,,,,,,,144,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,17,88%,1.67,0.005,141.4705308,0.389,2.570694087,0.5269461078,0.003724776494,1.244075349,0.5,0.5111955365,0.353956604,1.007463691,,,,,,,,,,,,,,,131.6666667,133.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,18,88%,1.60,0.005,135.5952865,0.389,2.570694087,0.55,0.004056188193,1.297980222,0.5,0.4624571197,0.3657526999,0.9749714131,,,,,,,,,,,,,,,135,146,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,19,88%,1.56,0.004,131.9607987,0.3112,3.213367609,0.5641025641,0.004274773794,1.66716178,0.25,0.4323070238,0.4481421632,1.145845619,,,,,,,,,,,,,,,138.3333333,160,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,20,88%,1.37,0.004,116.2488826,0.3112,3.213367609,0.6423357664,0.00552552207,1.892491309,0.25,0.3019679479,0.4930053532,1.041574358,,,,,,,,,,,,,,,128,133.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,21,88%,2.18,0.006,185.165859,0.4668,2.142245073,0.4036697248,0.002180044027,0.792082663,0.75,0.8736725667,0.2446978728,1.070670038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,22,88%,1.77,0.005,150.0197742,0.389,2.570694087,0.4971751412,0.003314064054,1.173178675,0.5,0.5821162619,0.3380899703,1.054744175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,23,88%,1.52,0.004,128.839997,0.3112,3.213367609,0.5789473684,0.004493537579,1.70754428,0.25,0.4064182396,0.4563913848,1.125134592,,,,,,,,,,,,,,,Mistral-7B-Instruct,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,24,88%,1.71,0.005,145.2045042,0.389,2.570694087,0.514619883,0.00354410413,1.212083612,0.5,0.5421709209,0.3468471833,1.028113947,,,,,,,,,,,,,,,I_APV0 (gCO2/kWh),I_APV3 (gCO2/kWh),ΔSCI%,ΔSEI%,ΔEmission%,GQI_APV0,GQI_APV3,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,25,88%,1.78,0.005,150.5409274,0.389,2.570694087,0.4943820225,0.003284037311,1.169117283,0.5,0.5864395172,0.3371686309,1.057626345,,,,,,,,,,,,,,,294,127.5,-30,45.83333333,-65.24822695,0.009944134078,0.00683082827,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,26,88%,1.76,0.005,148.8676961,0.389,2.570694087,0.5,0.00335868703,1.182257834,0.5,0.5725591335,0.3401446907,1.048372756,,,,,,,,,,,,,,,292,142.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,27,88%,1.54,0.004,130.2279065,0.3112,3.213367609,0.5714285714,0.004387911829,1.689346054,0.25,0.4179317199,0.4526855271,1.134345376,,,,,,,,,,,,,,,251.6666667,142.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,28,88%,1.70,0.005,144.4774052,0.389,2.570694087,0.5176470588,0.003582892828,1.218183561,0.5,0.5361392306,0.3482090877,1.02409282,,,,,,,,,,,,,,,292,132,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,29,88%,1.93,0.006,163.2358581,0.4668,2.142245073,0.4559585492,0.00279324993,0.898495394,0.75,0.6917510225,0.2710113281,0.96671487,,,,,,,,,,,,,,,280,152.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,30,88%,1.78,0.005,150.8547623,0.389,2.570694087,0.4943820225,0.003277205272,1.166685077,0.5,0.5890429523,0.336616225,1.059361968,,,,,,,,,,,,,,,250,145,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,31,88%,1.64,0.005,139.1491277,0.389,2.570694087,0.5365853659,0.003856189217,1.264830063,0.5,0.4919382076,0.3585253312,0.9946254717,,,,,,,,,,,,,,,257.1428571,138,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,32,88%,2.02,0.006,171.2711536,0.4668,2.142245073,0.4356435644,0.002543589829,0.8563419091,0.75,0.758408264,0.2607379076,1.004804722,,,,,,,,,,,,,,,263.3333333,126,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV2,33,88%,1.47,0.004,124.2564192,0.3112,3.213367609,0.5986394558,0.004817774884,1.77053227,0.25,0.3683949144,0.4690730441,1.094715932,,,,,,,,,,,,,,,253.3333333,127.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,1,88%,1.32,0.003,84.38202309,0.2334,4.284490146,0.6666666667,0.007900576951,3.476253858,0,0.03761463866,0.7732605441,1.037614639,,,,,,,,,,,,,,,268.3333333,155,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,2,88%,1.39,0.003,88.49229857,0.2334,4.284490146,0.6330935252,0.007154221727,3.3147894,0,0.07171165807,0.7486588897,1.071711658,,,,,,,,,,,,,,,246.6666667,126,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,3,88%,1.54,0.003,97.69237032,0.2334,4.284490146,0.5714285714,0.005849265092,3.002622747,0,0.148031366,0.698888971,1.148031366,,,,,,,,,,,,,,,255,155,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,4,88%,1.64,0.003,104.2192861,0.2334,4.284490146,0.5365853659,0.005148618706,2.814578226,0,0.2021757595,0.6674119435,1.202175759,,,,,,,,,,,,,,,274,130,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,5,88%,1.41,0.003,89.62704141,0.2334,4.284490146,0.6241134752,0.006963450599,3.272821782,0,0.08112498047,0.7421403395,1.08112498,,,,,,,,,,,,,,,280,155,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,6,88%,1.26,0.003,79.847711,0.2334,4.284490146,0.6984126984,0.008746809266,3.673659892,0,0,0.80234646,1,,,,,,,,,,,,,,,256.6666667,132,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,7,88%,1.49,0.003,94.43867659,0.2334,4.284490146,0.5906040268,0.006253836333,3.106072045,0,0.1210401683,0.7157160668,1.121040168,,,,,,,,,,,,,,,264.2857143,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,8,88%,1.67,0.004,105.5702704,0.3112,3.213367609,0.5269461078,0.004991425199,2.083920021,0.25,0.213382925,0.5289980227,0.97070634,,,,,,,,,,,,,,,253.3333333,126,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,9,88%,1.37,0.003,86.85019298,0.2334,4.284490146,0.6423357664,0.007395904884,3.37746323,0,0.05808947958,0.758297361,1.05808948,,,,,,,,,,,,,,,270,128,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,10,88%,1.63,0.003,102.9435814,0.2334,4.284490146,0.5398773006,0.005244399829,2.84945724,0,0.1915930802,0.673339308,1.19159308,,,,,,,,,,,,,,,268.5714286,141.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,11,88%,1.34,0.003,84.68763618,0.2334,4.284490146,0.6567164179,0.007754572539,3.463709067,0,0.04014986911,0.7713758218,1.040149869,,,,,,,,,,,,,,,282,131.4285714,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,12,88%,1.64,0.003,103.5245531,0.2334,4.284490146,0.5365853659,0.005183170077,2.833466309,0,0.1964125634,0.6706269097,1.196412563,,,,,,,,,,,,,,,252.8571429,150,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,13,88%,1.33,0.003,84.868852,0.2334,4.284490146,0.6616541353,0.007796195186,3.456313199,0,0.04165315501,0.7702625929,1.041653155,,,,,,,,,,,,,,,251.6666667,125,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,14,88%,1.82,0.004,115.3362261,0.3112,3.213367609,0.4835164835,0.004192234305,1.907466609,0.25,0.2943969547,0.4958889664,1.035517564,,,,,,,,,,,,,,,275,130,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,15,88%,1.60,0.003,101.2708449,0.2334,4.284490146,0.55,0.00543098066,2.896523019,0,0.1777168012,0.6812728316,1.177716801,,,,,,,,,,,,,,,278.75,138,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,16,88%,1.61,0.003,102.0622218,0.2334,4.284490146,0.5465838509,0.00535539832,2.874063765,0,0.1842817123,0.6774962847,1.184281712,,,,,,,,,,,,,,,272.8571429,143.75,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,17,88%,1.61,0.003,101.6674711,0.2334,4.284490146,0.5465838509,0.005376192059,2.885223072,0,0.1810070363,0.6793748347,1.181007036,,,,,,,,,,,,,,,278.3333333,128.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,18,88%,1.90,0.004,119.842412,0.3112,3.213367609,0.4631578947,0.003864724409,1.835744094,0.25,0.331778271,0.4819699961,1.065422617,,,,,,,,,,,,,,,276,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,19,88%,1.70,0.004,108.4149083,0.3112,3.213367609,0.5176470588,0.004774685207,2.029241213,0.25,0.2369807773,0.5189063402,0.9895846219,,,,,,,,,,,,,,,244,126,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,20,88%,1.41,0.003,89.30650437,0.2334,4.284490146,0.6241134752,0.00698844367,3.284568525,0,0.07846594766,0.7439701381,1.078465948,,,,,,,,,,,,,,,253.3333333,134,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,21,88%,1.51,0.003,95.5938571,0.2334,4.284490146,0.582781457,0.006096432079,3.06853748,0,0.1306230326,0.7096498452,1.130623033,,,,,,,,,,,,,,,273.3333333,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,22,88%,2.08,0.004,131.1798891,0.3112,3.213367609,0.4230769231,0.003225166037,1.677086339,0.25,0.4258289448,0.4501782422,1.140663156,,,,,,,,,,,,,,,292,152.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,23,88%,1.59,0.003,100.8426799,0.2334,4.284490146,0.5534591195,0.005488342042,2.908821282,0,0.1741649344,0.6833336924,1.174164934,,,,,,,,,,,,,,,270,140,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,24,88%,1.62,0.003,102.7199906,0.2334,4.284490146,0.5432098765,0.005288258627,2.855659659,0,0.1897382704,0.6743890484,1.18973827,,,,,,,,,,,,,,,270,156.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,25,88%,1.46,0.003,92.53505657,0.2334,4.284490146,0.602739726,0.006513636544,3.169969785,0,0.1052485823,0.7259420848,1.105248582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,26,88%,1.66,0.004,104.7660172,0.3112,3.213367609,0.5301204819,0.00506004233,2.099917567,0.25,0.2067111982,0.5319227741,0.9653689586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,27,88%,1.47,0.003,93.3087442,0.2334,4.284490146,0.5986394558,0.006415684413,3.143685362,0,0.1116667512,0.7217508837,1.111666751,,,,,,,,,,,,,,,Qwen-2.5-1.5B-Instruct,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,28,88%,1.56,0.003,98.8250101,0.2334,4.284490146,0.5641025641,0.005708095183,2.968209495,0,0.1574272424,0.6932154615,1.157427242,,,,,,,,,,,,,,,I_APV0 (gCO2/kWh),I_APV3 (gCO2/kWh),ΔSCI%,ΔSEI%,ΔEmission%,GQI_APV0,GQI_APV3,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,29,88%,1.53,0.003,97.35086949,0.2334,4.284490146,0.5751633987,0.005908148553,3.013155762,0,0.1451984269,0.7006178503,1.145198427,,,,,,,,,,,,,,,130,155,-8.333333333,17.85714286,0,0.01192307692,0.01012638538,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,30,88%,1.73,0.004,109.3459923,0.3112,3.213367609,0.5086705202,0.004651935654,2.01196217,0.25,0.2447046368,0.5156863316,0.9957637095,,,,,,,,,,,,,,,131.4285714,128,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,31,88%,1.75,0.004,110.7908799,0.3112,3.213367609,0.5028571429,0.004538795461,1.985723014,0.25,0.2566907824,0.5107677855,1.005352626,,,,,,,,,,,,,,,146,145,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,32,88%,1.73,0.004,109.623348,0.3112,3.213367609,0.5086705202,0.004640165889,2.006871747,0.25,0.2470054568,0.514734851,0.9976043654,,,,,,,,,,,,,,,141.6666667,155,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV3,33,88%,1.36,0.003,85.7891728,0.2334,4.284490146,0.6470588235,0.007542429918,3.419234896,0,0.04928772749,0.7646581953,1.049287727,,,,,,,,,,,,,,,130,126,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,1,88%,0.85,0.006,182.5235657,0.4668,2.142245073,1.035294118,0.005672112055,0.8035492078,0.4444444444,0.4489488775,0.3642200536,1.003118454,,,,,,,,,,,,,,,146.6666667,132.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,2,88%,0.8,0.006,171.4500379,0.4668,2.142245073,1.1,0.006415863267,0.8554484356,0.4444444444,0.4036519071,0.3759737262,0.9717590126,,,,,,,,,,,,,,,3.75,128,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,3,88%,0.98,0.007,208.1208595,0.5446,1.836210062,0.8979591837,0.004314604437,0.6040446212,0.5555555556,0.5536562361,0.315411338,0.9987790089,,,,,,,,,,,,,,,142,130,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,4,88%,0.6,0.004,127.1666921,0.3112,3.213367609,1.466666667,0.0115334184,1.73001276,0.2222222222,0.2225080638,0.5101710978,1.00023387,,,,,,,,,,,,,,,148,137.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,5,88%,0.86,0.006,184.1072578,0.4668,2.142245073,1.023255814,0.005557933055,0.7966370712,0.4444444444,0.4554270707,0.3625988883,1.007603357,,,,,,,,,,,,,,,150,125,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,6,88%,0.98,0.007,208.498659,0.5446,1.836210062,0.8979591837,0.004306786375,0.6029500926,0.5555555556,0.5552016489,0.3150979119,0.9997724886,,,,,,,,,,,,,,,142,142.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,7,88%,0.92,0.007,196.7644991,0.5446,1.836210062,0.9565217391,0.004861251615,0.6389073551,0.5555555556,0.5072023215,0.3251327212,0.9689157781,,,,,,,,,,,,,,,152.5,137.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,8,88%,0.84,0.006,179.9534139,0.4668,2.142245073,1.047619048,0.005821612523,0.8150257532,0.4444444444,0.4384355076,0.3668820986,0.9958399668,,,,,,,,,,,,,,,130,132.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,9,88%,0.79,0.006,167.9407604,0.4668,2.142245073,1.113924051,0.006632839152,0.8733238217,0.4444444444,0.3892969842,0.3798584779,0.9618209891,,,,,,,,,,,,,,,140,142.7272727,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,10,88%,0.73,0.005,156.338683,0.389,2.570694087,1.205479452,0.007710692124,1.12576105,0.3333333333,0.3418379487,0.4260680346,1.006378462,,,,,,,,,,,,,,,128.3333333,145,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,11,88%,0.73,0.005,156.5340038,0.389,2.570694087,1.205479452,0.007701070838,1.124356342,0.3333333333,0.3426369209,0.4258144914,1.006977691,,,,,,,,,,,,,,,130,138.5714286,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,12,88%,0.99,0.007,210.2853122,0.5446,1.836210062,0.8888888889,0.004227061224,0.5978272302,0.5555555556,0.5625100675,0.3136240863,1.004470758,,,,,,,,,,,,,,,138.3333333,150,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,13,88%,0.69,0.005,147.178182,0.389,2.570694087,1.275362319,0.008665430576,1.19582942,0.3333333333,0.3043663365,0.438308044,0.9782747524,,,,,,,,,,,,,,,135,143.75,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,14,88%,0.76,0.005,161.1112174,0.389,2.570694087,1.157894737,0.007186928106,1.092413072,0.3333333333,0.3613603043,0.4199580785,1.021020228,,,,,,,,,,,,,,,137.1428571,142,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,15,88%,0.91,0.007,193.9437653,0.5446,1.836210062,0.967032967,0.004986151349,0.6481996753,0.5555555556,0.4956639305,0.3276409775,0.961498241,,,,,,,,,,,,,,,150,141.25,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,16,88%,1.03,0.007,219.0657105,0.5446,1.836210062,0.854368932,0.003900057796,0.5738656471,0.5555555556,0.5984268456,0.3065769282,1.027560115,,,,,,,,,,,,,,,140,131.25,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,17,88%,0.68,0.005,146.094661,0.389,2.570694087,1.294117647,0.008858076254,1.204698371,0.3333333333,0.2999341246,0.4398024844,0.9749505934,,,,,,,,,,,,,,,135,144,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,18,88%,0.78,0.006,165.9828323,0.4668,2.142245073,1.128205128,0.006797119392,0.883625521,0.4444444444,0.3812879549,0.3820609858,0.9562762765,,,,,,,,,,,,,,,138.3333333,146.25,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,19,88%,0.71,0.005,151.3646163,0.389,2.570694087,1.23943662,0.008188417148,1.162755235,0.3333333333,0.3214912122,0.4326281191,0.9911184092,,,,,,,,,,,,,,,135.7142857,138,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,20,88%,1,0.007,212.3904769,0.5446,1.836210062,0.88,0.004143311945,0.5919017064,0.5555555556,0.5711213779,0.3119051138,1.0100066,,,,,,,,,,,,,,,141.6666667,134.1666667,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,21,88%,0.75,0.005,159.2747948,0.389,2.570694087,1.173333333,0.007366723247,1.105008487,0.3333333333,0.3538483005,0.4222882707,1.015386225,,,,,,,,,,,,,,,145,142.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,22,88%,0.84,0.006,178.5595651,0.4668,2.142245073,1.047619048,0.005867056447,0.8213879026,0.4444444444,0.4327338806,0.3683421219,0.9918926866,,,,,,,,,,,,,,,146,137.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,23,88%,0.79,0.006,169.5632483,0.4668,2.142245073,1.113924051,0.006569371969,0.8649673093,0.4444444444,0.3959338745,0.3780524618,0.9664157593,,,,,,,,,,,,,,,144,145,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,24,88%,0.8,0.006,170.6577587,0.4668,2.142245073,1.1,0.00644564893,0.8594198573,0.4444444444,0.4004110389,0.3768438145,0.9695153346,,,,,,,,,,,,,,,145.7142857,140,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,25,88%,0.97,0.007,207.8496979,0.5446,1.836210062,0.9072164948,0.004364771774,0.6048326601,0.5555555556,0.5525470326,0.3156366808,0.9980659495,,,,,,,,,,,,,,,140,141.6666667,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,26,88%,1.04,0.007,221.7245105,0.5446,1.836210062,0.8461538462,0.003816239551,0.5669841618,0.5555555556,0.609302836,0.30450502,1.034551823,,,,,,,,,,,,,,,138.3333333,136.6666667,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,27,88%,0.82,0.006,174.4171729,0.4668,2.142245073,1.073170732,0.006152896035,0.8408957915,0.4444444444,0.4157891618,0.3727505846,0.9801617274,,,,,,,,,,,,,,,136.6666667,137.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,28,88%,0.63,0.005,135.2009403,0.389,2.570694087,1.396825397,0.01033147694,1.301766095,0.3333333333,0.2553726669,0.455413976,0.9415295002,,,,,,,,,,,,,,,130,134.2857143,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,29,88%,0.72,0.005,152.8827671,0.389,2.570694087,1.222222222,0.00799450615,1.151208886,0.3333333333,0.3277013049,0.4306045761,0.9957759786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,30,88%,0.79,0.006,168.3985487,0.4668,2.142245073,1.113924051,0.006614807901,0.870949707,0.4444444444,0.3911695966,0.3793471616,0.963117413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,31,88%,1.08,0.008,231.2053796,0.6224,1.606683805,0.8148148148,0.003524203529,0.4757674765,0.6666666667,0.6480849345,0.2775168904,0.9888509607,,,,,,,,,,,,,,,Phi-3.5 Mini-Instruct,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,32,88%,0.83,0.006,176.3942974,0.4668,2.142245073,1.060240964,0.006010630611,0.8314705679,0.4444444444,0.4238767155,0.3706333786,0.985760803,,,,,,,,,,,,,,,I_APV0 (gCO2/kWh),I_APV3 (gCO2/kWh),ΔSCI%,ΔSEI%,ΔEmission%,GQI_APV0,GQI_APV3,,,,,,,,
Meta-Llama-3-8B-Instruct,APV0,33,88%,0.64,0.005,137.8436388,0.389,2.570694087,1.375,0.009975070394,1.27680901,0.3333333333,0.2661827933,0.4515258465,0.949637095,,,,,,,,,,,,,,,138,340,-10,12.5,137.7777778,0.009948186528,0.008847926267,,,,,,,,
